"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.60750990369,YesMr,0.0,0.181818181818
1,0.620540422323,Pclass,2.5,0.181818181818
2,0.668023761221,Pclass,1.5,0.181818181818
3,0.777212314718,YesRev,0.0,0.181818181818
4,0.550168793582,FamilySize,4.5,0.909090909091
5,0.538489790461,AgeGroup,0.75,0.136363636364
6,0.714229709618,CabinNumbers,6.0,6.72727272727
7,0.805792456652,YesFancy,0.0,0.181818181818
8,1.0,ThisIsAnEndNode,nan,nan
9,0.535375283407,Gender,0.0,0.181818181818
10,0.781280009214,FamilySize,6.5,0.545454545455
11,0.520018736503,CabinE,0.0,0.181818181818
12,0.704625960377,CabinNumbers,23.0,8.0
13,0.721928430271,nTicketStrings,2.5,0.181818181818
14,nan,,nan,nan
15,0.852078527764,TicketNumber,45575.5454545,22786.2727273
16,0.576797248262,CabinNumbers,8.54545454545,9.54545454545
17,nan,,nan,nan
18,nan,,nan,nan
19,0.515690053419,AgeGroup,0.25,0.181818181818
20,1.0,ThisIsAnEndNode,nan,nan
21,1.0,ThisIsAnEndNode,nan,nan
22,0.687294951642,Fare,0.25,0.0909090909091
23,0.540855773737,nTicketStrings,1.5,0.0909090909091
24,nan,,nan,nan
25,nan,,nan,nan
26,0.847532341936,SibSp,0.5,0.0909090909091
27,0.732037212421,Fare,0.25,0.136363636364
28,0.552882726699,TicketNumber,23101280.3636,2.27272727273
29,nan,,nan,nan
30,nan,,nan,nan
31,0.938134541448,TicketDashes,2.5,0.363636363636
32,0.762943774331,Fare,0.75,0.136363636364
33,nan,,nan,nan
34,0.702438036832,EmbarkIsC,0.0,0.181818181818
35,nan,,nan,nan
36,nan,,nan,nan
37,nan,,nan,nan
38,nan,,nan,nan
39,0.523896293046,EmbarkIsS,0.0,0.181818181818
40,0.592945924148,FamilySize,1.5,0.272727272727
41,nan,,nan,nan
42,nan,,nan,nan
43,nan,,nan,nan
44,nan,,nan,nan
45,nan,,nan,nan
46,1.0,ThisIsAnEndNode,nan,nan
47,0.580720669337,TicketNumber,21028.5454545,9277.54545455
48,0.681680366881,EmbarkIsS,0.0,0.181818181818
49,nan,,nan,nan
50,nan,,nan,nan
51,nan,,nan,nan
52,nan,,nan,nan
53,1.0,ThisIsAnEndNode,nan,nan
54,nan,,nan,nan
55,0.743899160044,EmbarkIsC,0.0,0.181818181818
56,0.761772910879,TicketNumber,1862.0,1207.09090909
57,nan,,nan,nan
58,nan,,nan,nan
59,nan,,nan,nan
60,nan,,nan,nan
61,nan,,nan,nan
62,nan,,nan,nan
