"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.658114823941,YesMr,0.0,0.181818181818
1,0.648382696607,Pclass,2.5,0.181818181818
2,0.73621151178,Pclass,1.5,0.181818181818
3,0.825424002167,YesRev,0.0,0.181818181818
4,0.586656317308,FamilySize,4.5,0.909090909091
5,0.560493906335,AgeGroup,0.75,0.136363636364
6,0.795001366012,nTicketStrings,2.5,0.181818181818
7,0.842642054285,YesFancy,0.0,0.181818181818
8,1.0,ThisIsAnEndNode,nan,nan
9,0.555471128295,AgeGroup,-0.75,0.181818181818
10,0.834597638698,FamilySize,6.5,0.545454545455
11,0.539101365288,Fare,-0.5,0.181818181818
12,0.745702790309,CabinNumbers,7.0,8.0
13,0.807278343659,CabinNumbers,6.0,6.72727272727
14,0.580189024662,TicketNumber,23101280.3636,2.27272727273
15,0.87911642791,TicketNumber,227868.454545,22786.5454545
16,0.747625927755,CabinNumbers,7.5,9.54545454545
17,nan,,nan,nan
18,nan,,nan,nan
19,0.88620841988,FamilySize,2.5,0.272727272727
20,0.528353991161,EmbarkIsQ,0.0,0.181818181818
21,1.0,ThisIsAnEndNode,nan,nan
22,0.759733296404,TicketNumber,174710.0,281739.727273
23,1.0,ThisIsAnEndNode,nan,nan
24,0.522553761568,TicketNumber,25377.7272727,9825.36363636
25,1.0,ThisIsAnEndNode,nan,nan
26,0.701463651253,CabinNumbers,42.4545454545,6.36363636364
27,0.814732124792,Fare,0.25,0.136363636364
28,nan,,nan,nan
29,nan,,nan,nan
30,nan,,nan,nan
31,0.914772432747,CabinC,0.0,0.181818181818
32,0.780066669557,AgeGroup,-0.25,0.181818181818
33,nan,,nan,nan
34,nan,,nan,nan
35,nan,,nan,nan
36,nan,,nan,nan
37,nan,,nan,nan
38,nan,,nan,nan
39,nan,,nan,nan
40,1.0,ThisIsAnEndNode,nan,nan
41,0.52600954911,YesMiss,0.0,0.181818181818
42,0.686156096226,TicketNumber,348702.181818,33946.8181818
43,nan,,nan,nan
44,nan,,nan,nan
45,1.0,ThisIsAnEndNode,nan,nan
46,nan,,nan,nan
47,nan,,nan,nan
48,nan,,nan,nan
49,0.603038085931,CabinNumbers,10.5454545455,11.5454545455
50,0.604923945114,Fare,0.25,0.0909090909091
51,nan,,nan,nan
52,nan,,nan,nan
53,0.575101320173,CabinNumbers,28.5,2.18181818182
54,1.0,ThisIsAnEndNode,nan,nan
55,0.824844359481,TicketNumber,2100117.0,2100117.0
56,0.794277809215,TicketNumber,1862.0,1207.09090909
57,nan,,nan,nan
58,nan,,nan,nan
59,nan,,nan,nan
60,nan,,nan,nan
61,nan,,nan,nan
62,nan,,nan,nan
