"NodeNumber,LT_className_decision,GT_className_decision,LT_WeightCorrect,GT_WeightCorrect,LT_TotalWeight,GT_TotalWeight"
14,0,1,0.00448933782267,0.00448933782267,0.00561167227834,0.00785634118968
58,0,nan,0.00897867564534,nan,0.00897867564534,nan
28,1,0,0.00448933782267,0.00897867564534,0.00673400673401,0.00897867564534
27,nan,0,nan,0.00448933782267,nan,0.00673400673401
55,0,0,0.304152637486,0.0291806958474,0.335578002245,0.0291806958474
54,0,nan,0.00785634118968,nan,0.00785634118968,nan
26,0,0,0.00673400673401,0.00785634118968,0.010101010101,0.00785634118968
25,0,nan,0.00673400673401,nan,0.00673400673401,nan
50,1,0,0.00561167227834,0.00785634118968,0.00897867564534,0.010101010101
49,0,0,0.00785634118968,0.003367003367,0.00785634118968,0.00561167227834
48,1,0,0.0190796857464,0.00448933782267,0.023569023569,0.00673400673401
47,0,0,0.00785634118968,0.00785634118968,0.013468013468,0.00785634118968
10,nan,1,nan,0.00448933782267,nan,0.00785634118968
21,0,0,0.00897867564534,0.003367003367,0.00897867564534,0.00561167227834
43,0,nan,0.00897867564534,nan,0.00897867564534,nan
42,0,nan,0.00561167227834,nan,0.00561167227834,nan
20,0,0,0.003367003367,0.00561167227834,0.00561167227834,0.00561167227834
19,0,nan,0.0157126823794,nan,0.0157126823794,nan
8,nan,0,nan,0.00785634118968,nan,0.010101010101
36,0,0,0.00673400673401,0.00561167227834,0.013468013468,0.00673400673401
35,1,1,0.0639730639731,0.0112233445567,0.0942760942761,0.0112233445567
34,0,1,0.013468013468,0.00448933782267,0.0145903479237,0.00785634118968
33,1,nan,0.0123456790123,nan,0.0123456790123,nan
32,1,1,0.00785634118968,0.003367003367,0.00785634118968,0.00561167227834
31,1,1,0.0707070707071,0.0796857463524,0.0774410774411,0.0796857463524
