"NodeNumber,LT_className_decision,GT_className_decision,LT_WeightCorrect,GT_WeightCorrect,LT_TotalWeight,GT_TotalWeight"
14,nan,0,nan,0.00313628830345,nan,0.00622443616652
60,0,0,0.0256396485525,0.0127592871962,0.0353037345731,0.0141636341313
59,0,0,0.313685651291,0.00876551120275,0.345555794182,0.0121201809345
58,0,0,0.0149796714151,0.0131613629231,0.0162569355885,0.0209295851317
57,0,1,0.0232074797924,0.0278532506824,0.0307881224536,0.0541800206031
27,0,nan,0.00630309059829,nan,0.00630309059829,nan
26,0,nan,0.00868158557516,nan,0.00868158557516,nan
12,0,0,0.00381129294439,0.00868158557516,0.00521563987943,0.00868158557516
11,1,nan,0.0175040044675,nan,0.0175040044675,nan
22,1,1,0.00524069626778,0.00424369516308,0.00628612570226,0.00633455403205
21,nan,1,nan,0.00804848527744,nan,0.00931229614019
43,0,0,0.0360283759255,0.0181667866226,0.056555773676,0.0197108605541
20,1,0,0.00735659324829,0.00934281013157,0.00735659324829,0.0103882395661
41,1,nan,0.00735659324829,nan,0.00735659324829,nan
40,1,nan,0.00543517940617,nan,0.00543517940617,nan
39,1,0,0.0229273125082,0.00420481621978,0.0297075258953,0.00734110452323
8,nan,1,nan,0.00313628830345,nan,0.00622443616652
36,1,1,0.0117077560131,0.00313628830345,0.0131046874386,0.00622443616652
35,1,1,0.00752603827514,0.0272912831621,0.00907011220667,0.0272912831621
34,1,nan,0.0116037398962,nan,0.0116037398962,nan
16,1,1,0.00335652403452,0.0116037398962,0.00644467189758,0.0116037398962
15,1,nan,0.0866228008753,nan,0.0866228008753,nan
