"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.505210186992,Gender,0.0,0.181818181818
1,0.56211667076,Pclass,2.5,0.181818181818
2,0.507344480876,TicketDashes,1.5,0.363636363636
3,0.733122565193,TicketNumber,227865.727273,22786.2727273
4,0.507497433217,AgeGroup,-0.75,0.181818181818
5,0.506834096571,AgeGroup,0.75,0.181818181818
6,1.0,AgeGroup,-0.75,0.181818181818
7,0.760865820204,TicketNumber,113064.363636,22612.2727273
8,0.571819607388,AgeGroup,0.25,0.181818181818
9,0.692639041362,FamilySize,2.5,0.545454545455
10,0.506428593614,CabinNumbers,2.5,11.0909090909
11,0.505544603062,FamilySize,4.5,0.909090909091
12,0.687729622509,CabinNumbers,8.54545454545,9.54545454545
13,1.0,ThisIsAnEndNode,nan,nan
14,1.0,ThisIsAnEndNode,nan,nan
15,0.848210113137,CabinC,0.0,0.181818181818
16,0.604264680144,CabinNumbers,32.8181818182,11.2727272727
17,0.71338293604,TicketNumber,245232.545455,2709.72727273
18,0.721120801981,TicketNumber,245729.454545,2459.27272727
19,0.736323268983,FamilySize,2.5,0.181818181818
20,0.711179369876,FamilySize,2.5,0.454545454545
21,0.507926252183,SibSp,0.5,0.727272727273
22,0.506428593614,CabinNumbers,2.5,11.0909090909
23,0.507678063996,YesMaster,0.0,0.181818181818
24,0.673640754255,AgeGroup,-0.75,0.136363636364
25,0.8804978652,CabinNumbers,2.0,1.63636363636
26,0.668354572947,Fare,0.25,0.0909090909091
27,nan,,nan,nan
28,nan,,nan,nan
29,nan,,nan,nan
30,nan,,nan,nan
31,0.960777819983,TicketDashes,2.5,0.363636363636
32,0.715546580888,CabinNumbers,58.3636363636,11.2727272727
33,0.589675213873,AgeGroup,0.25,0.181818181818
34,0.904405412591,CabinC,0.0,0.181818181818
35,1.0,ThisIsAnEndNode,nan,nan
36,0.755890375335,TicketNumber,250646.5,618.636363636
37,0.798971949465,TicketNumber,236244.5,1877.81818182
38,nan,,nan,nan
39,nan,,nan,nan
40,1.0,ThisIsAnEndNode,nan,nan
41,nan,,nan,nan
42,1.0,SibSp,2.5,0.363636363636
43,0.508446625577,SibSp,0.5,0.0909090909091
44,0.507926252183,SibSp,0.5,0.727272727273
45,0.507926252183,SibSp,0.5,0.727272727273
46,0.506428593614,CabinNumbers,2.5,11.0909090909
47,0.505050520417,YesFancy,0.0,0.181818181818
