"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.510037939262,Gender,0.0,0.181818181818
1,0.571054999546,Fare,0.25,0.136363636364
2,0.504709805965,TicketDashes,2.5,0.363636363636
3,0.509997341676,CabinD,0.0,0.181818181818
4,0.941154622369,FamilySize,7.0,0.909090909091
5,0.504425760041,FamilySize,4.5,0.909090909091
6,1.0,ThisIsAnEndNode,nan,nan
7,0.507605951856,CabinNumbers,84.0909090909,9.45454545455
8,1.0,ThisIsAnEndNode,nan,nan
9,0.952382812191,AgeGroup,-0.25,0.181818181818
10,1.0,ThisIsAnEndNode,nan,nan
11,0.508977019733,YesMaster,0.0,0.181818181818
12,0.689413021781,FamilySize,4.5,0.636363636364
13,nan,,nan,nan
14,nan,,nan,nan
15,0.506531927859,CabinNumbers,45.5,7.09090909091
16,nan,,nan,nan
17,nan,,nan,nan
18,nan,,nan,nan
19,0.794822650824,TicketNumber,110282.5,10150.7272727
20,1.0,ThisIsAnEndNode,nan,nan
21,nan,,nan,nan
22,nan,,nan,nan
23,0.503676071116,YesRev,0.0,0.181818181818
24,0.994187897109,SibSp,1.5,0.272727272727
25,0.819855492366,CabinNumbers,1.5,9.0
26,0.689413021781,FamilySize,4.5,0.636363636364
27,nan,,nan,nan
28,nan,,nan,nan
29,nan,,nan,nan
30,nan,,nan,nan
31,0.506553642031,TicketDashes,2.5,0.272727272727
32,nan,,nan,nan
33,nan,,nan,nan
34,nan,,nan,nan
35,nan,,nan,nan
36,nan,,nan,nan
37,nan,,nan,nan
38,nan,,nan,nan
39,0.794822650824,TicketNumber,110282.5,10150.7272727
40,nan,,nan,nan
41,nan,,nan,nan
42,nan,,nan,nan
43,nan,,nan,nan
44,nan,,nan,nan
45,nan,,nan,nan
46,nan,,nan,nan
47,0.502804498284,CabinE,0.0,0.181818181818
48,1.0,ThisIsAnEndNode,nan,nan
49,1.0,ThisIsAnEndNode,nan,nan
50,nan,,nan,nan
51,0.925999259524,AgeGroup,-0.75,0.136363636364
52,0.819855492366,CabinNumbers,1.5,9.0
53,0.819855492366,CabinNumbers,1.5,9.0
54,0.689413021781,FamilySize,4.5,0.636363636364
55,nan,,nan,nan
56,nan,,nan,nan
57,nan,,nan,nan
58,nan,,nan,nan
59,nan,,nan,nan
60,nan,,nan,nan
61,nan,,nan,nan
62,nan,,nan,nan
63,0.505941143977,CabinF,0.0,0.181818181818
64,1.0,ThisIsAnEndNode,nan,nan
65,nan,,nan,nan
66,nan,,nan,nan
67,nan,,nan,nan
68,nan,,nan,nan
69,nan,,nan,nan
70,nan,,nan,nan
71,nan,,nan,nan
72,nan,,nan,nan
73,nan,,nan,nan
74,nan,,nan,nan
75,nan,,nan,nan
76,nan,,nan,nan
77,nan,,nan,nan
78,nan,,nan,nan
79,0.794822650824,TicketNumber,110282.5,10150.7272727
80,nan,,nan,nan
81,nan,,nan,nan
82,nan,,nan,nan
83,nan,,nan,nan
84,nan,,nan,nan
85,nan,,nan,nan
86,nan,,nan,nan
87,nan,,nan,nan
88,nan,,nan,nan
89,nan,,nan,nan
90,nan,,nan,nan
91,nan,,nan,nan
92,nan,,nan,nan
93,nan,,nan,nan
94,nan,,nan,nan
95,0.503566234766,TicketDashes,1.5,0.181818181818
