"NodeNumber,LT_className_decision,GT_className_decision,LT_WeightCorrect,GT_WeightCorrect,LT_TotalWeight,GT_TotalWeight"
254,0,0,0.0214304672725,0.00211025115559,0.0273754644569,0.00382154268182
253,1,0,6.3291753302e-05,0.000227308058512,8.99305659356e-05,0.000227308058512
125,nan,0,nan,0.000623357092518,nan,0.000652409836785
251,1,1,0.000549741343366,0.000129130245867,0.000996731093805,0.000129130245867
61,nan,0,nan,0.0012462233993,nan,0.00131098454271
248,1,nan,0.000940500024189,nan,0.000940500024189,nan
247,0,1,0.00279650669681,0.00125240394648,0.00468796727497,0.00149721406537
60,nan,0,nan,0.00217543536053,nan,0.00250737476293
244,1,nan,0.00445963962786,nan,0.00445963962786,nan
243,0,1,0.0149308404957,0.00383893282058,0.02373185733,0.0047024410999
120,1,nan,0.000383175111783,nan,0.000383175111783,nan
119,0,nan,0.000539478891489,nan,0.000539478891489,nan
13,nan,0,nan,0.00223434224228,nan,0.00445267271569
27,1,nan,0.00672603783606,nan,0.00672603783606,nan
26,1,nan,0.00266084532129,nan,0.00266084532129,nan
214,1,1,0.000100347455169,0.00144307617671,0.000106337245544,0.00211671290796
106,1,nan,0.000191836966799,nan,0.000216264549803,nan
52,1,nan,0.000439238969226,nan,0.000563287202388,nan
210,0,0,0.000104347989391,0.00166290747265,0.000104347989391,0.00256054409361
104,0,nan,0.000353802541201,nan,0.000372680999315,nan
208,0,nan,0.00092135230132,nan,0.00092135230132,nan
103,0,nan,0.0012405944227,nan,0.00126892467545,nan
206,0,0,0.000568072325185,0.00445120161976,0.000874121233526,0.00445120161976
205,0,0,0.000568098297722,0.00185032586192,0.000874167793211,0.00185032586192
204,0,0,0.000568086125747,0.00273153405871,0.00087412776109,0.00273153405871
203,0,0,0.00131685969695,0.00448790293411,0.00162294790043,0.00448790293411
49,1,nan,0.0124008946643,nan,0.0124008946643,nan
48,nan,0,nan,0.00338012182479,nan,0.00406312347672
196,1,nan,0.00293005443954,nan,0.00293005443954,nan
97,0,nan,0.00460145992781,nan,0.00576601953398,nan
194,0,nan,0.0382410731041,nan,0.0382410731041,nan
193,0,0,0.00197713565346,0.0592801837621,0.00320138389611,0.0641174880962
192,1,0,0.00553890554656,0.00254972847114,0.00798740203186,0.00254972847114
191,0,0,0.00883168947718,0.255555564429,0.0144273735206,0.283593896737
190,0,0,1.00352979956e-06,0.0146278015374,1.93098910623e-06,0.0179391079219
189,0,0,7.89160817347e-05,0.000111427772002,8.87148909313e-05,0.000111427772002
188,0,nan,0.000165017137305,nan,0.000165017137305,nan
187,0,1,0.000154357099784,3.8809870783e-05,0.000228872587536,3.8809870783e-05
92,0,nan,0.000678434269353,nan,0.000678434269353,nan
184,0,1,0.000288935286882,0.000458164752283,0.000477632896136,0.000458164752283
183,0,1,0.000526322841836,0.000266329222835,0.000923763664865,0.000406144394007
90,0,nan,0.00399301340643,nan,0.00399301340643,nan
44,0,nan,0.00221556221863,nan,0.00343981046128,nan
88,nan,1,nan,0.0018186376835,nan,0.00277337008692
177,1,nan,0.00355627759461,nan,0.00355627759461,nan
176,1,1,0.00334278699966,0.000799745230576,0.00581376187784,0.00116796443294
175,0,1,0.0218732214765,0.00550279898942,0.0353669920908,0.00651419993493
20,1,nan,0.00266923649705,nan,0.00266923649705,nan
82,nan,0,nan,0.00198154788672,nan,0.0029549078936
165,1,1,0.00496468961572,0.00268281842985,0.00922609118574,0.00268281842985
164,1,1,0.00237527987106,0.000905519560609,0.00385309954973,0.000905519560609
163,1,0,0.00951790860527,8.68741742637e-05,0.0101038472243,0.00011258863981
80,nan,0,nan,0.00325231664649,nan,0.00355627759461
161,0,0,0.00107262068989,0.00143155801372,0.00202654506264,0.00146691913536
160,1,0,0.00315656798984,0.0023075011349,0.00325321916689,0.00392432336125
159,1,1,0.00221556221863,0.00389952617879,0.00332334332794,0.00389952617879
18,nan,1,nan,0.00309040781074,nan,0.00437740398655
37,1,nan,0.0187468439576,nan,0.0187468439576,nan
17,1,nan,0.0551189560102,nan,0.0551189560102,nan
70,1,nan,0.00394571761963,nan,0.00394571761963,nan
34,1,nan,0.000405612652294,nan,0.000691361309481,nan
16,0,nan,0.00158111786343,nan,0.00267994743398,nan
15,nan,1,nan,0.00126175195946,nan,0.00166722615432
130,1,0,0.00329503688965,0.00238880784882,0.00329503688965,0.0046611485643
129,1,1,0.0088622488745,0.00878807133822,0.0100864971172,0.00878807133822
128,1,1,0.00706313066723,0.00813878302018,0.00795165421137,0.00813878302018
127,1,1,0.0218260978332,0.00418700351136,0.0218260978332,0.00452272820987
