"NodeNumber,GiniIncrease,ColumnName,ValueOfSplit,RangeBetweenSplits"
0,0.512838984448,Gender,0.0,0.181818181818
1,0.615338182274,Pclass,2.5,0.181818181818
2,0.50734127632,FamilySize,4.5,0.909090909091
3,0.797425278272,Fare,-0.25,0.136363636364
4,0.510879152623,FamilySize,7.5,0.909090909091
5,0.511299211098,YesMaster,0.0,0.181818181818
6,0.73657981458,FamilySize,4.5,0.636363636364
7,0.621319941948,TicketNumber,227865.727273,22786.2727273
8,0.880847546091,FamilySize,3.5,0.454545454545
9,0.508282156134,TicketNumber,4201987.45455,2099921.72727
10,0.740236642127,FamilySize,7.5,0.363636363636
11,0.506103444847,TicketDashes,2.5,0.363636363636
12,0.99247376288,SibSp,1.5,0.272727272727
13,0.781975105041,CabinNumbers,1.5,9.0
14,0.73657981458,FamilySize,4.5,0.636363636364
15,0.647947196436,TicketNumber,226133.909091,22613.0909091
16,0.571365440373,YesMrs,0.0,0.181818181818
17,0.942411250402,AgeGroup,0.75,0.181818181818
18,0.829751111418,TicketNumber,113770.5,21974.9090909
19,0.512873117122,TicketDots,0.5,0.0909090909091
20,0.806040819818,TicketNumber,23101275.0,1818182.27273
21,nan,,nan,nan
22,1.0,ThisIsAnEndNode,nan,nan
23,0.504422283308,CabinE,0.0,0.181818181818
24,1.0,ThisIsAnEndNode,nan,nan
25,1.0,ThisIsAnEndNode,nan,nan
26,nan,,nan,nan
27,0.920613908987,AgeGroup,-0.75,0.136363636364
28,0.781975105041,CabinNumbers,1.5,9.0
29,0.781975105041,CabinNumbers,1.5,9.0
30,0.73657981458,FamilySize,4.5,0.636363636364
31,0.694334149751,AgeGroup,0.25,0.136363636364
32,0.745341870613,TicketNumber,237669.5,2286.45454545
33,0.599302101207,TicketNumber,237669.5,2187.18181818
34,1.0,ThisIsAnEndNode,nan,nan
35,1.0,ThisIsAnEndNode,nan,nan
36,0.834721009577,Fare,0.25,0.0909090909091
37,0.78753813313,TicketNumber,74205.5,10150.7272727
38,0.662480846958,Pclass,1.5,0.0909090909091
39,0.510893714272,nTicketStrings,1.5,0.0909090909091
40,1.0,ThisIsAnEndNode,nan,nan
41,0.806040819818,TicketNumber,23101275.0,1818182.27273
42,nan,,nan,nan
43,nan,,nan,nan
44,nan,,nan,nan
45,nan,,nan,nan
46,nan,,nan,nan
47,0.504514609906,TicketDashes,1.5,0.181818181818
48,0.865339895747,CabinNumbers,28.0,5.0
49,nan,,nan,nan
50,nan,,nan,nan
51,nan,,nan,nan
52,nan,,nan,nan
53,nan,,nan,nan
54,nan,,nan,nan
55,nan,,nan,nan
56,1.0,ThisIsAnEndNode,nan,nan
57,0.920613908987,AgeGroup,-0.75,0.136363636364
58,0.781975105041,CabinNumbers,1.5,9.0
59,0.920613908987,AgeGroup,-0.75,0.136363636364
60,0.781975105041,CabinNumbers,1.5,9.0
61,0.781975105041,CabinNumbers,1.5,9.0
62,0.73657981458,FamilySize,4.5,0.636363636364
63,1.0,ThisIsAnEndNode,nan,nan
64,0.552230670857,TicketNumber,44344.2727273,22170.6363636
65,0.723510710669,TicketNumber,234711.0,1279.54545455
66,nan,,nan,nan
67,nan,,nan,nan
68,0.521745641357,AgeGroup,0.25,0.0909090909091
69,nan,,nan,nan
70,nan,,nan,nan
71,nan,,nan,nan
72,nan,,nan,nan
73,nan,,nan,nan
74,1.0,ThisIsAnEndNode,nan,nan
75,1.0,ThisIsAnEndNode,nan,nan
76,nan,,nan,nan
77,nan,,nan,nan
78,1.0,ThisIsAnEndNode,nan,nan
79,0.510272180971,AgeGroup,0.25,0.136363636364
80,nan,,nan,nan
81,nan,,nan,nan
82,nan,,nan,nan
83,0.806040819818,TicketNumber,23101275.0,1818182.27273
84,nan,,nan,nan
85,nan,,nan,nan
86,nan,,nan,nan
87,nan,,nan,nan
88,nan,,nan,nan
89,nan,,nan,nan
90,nan,,nan,nan
91,nan,,nan,nan
92,nan,,nan,nan
93,nan,,nan,nan
94,nan,,nan,nan
95,0.503827807068,YesRev,0.0,0.181818181818
96,0.805439472423,AgeGroup,0.75,0.136363636364
97,1.0,ThisIsAnEndNode,nan,nan
98,0.733556921989,nTicketStrings,1.5,0.0909090909091
99,nan,,nan,nan
100,nan,,nan,nan
101,nan,,nan,nan
102,nan,,nan,nan
103,nan,,nan,nan
104,nan,,nan,nan
105,nan,,nan,nan
106,nan,,nan,nan
107,nan,,nan,nan
108,nan,,nan,nan
109,nan,,nan,nan
110,nan,,nan,nan
111,nan,,nan,nan
112,nan,,nan,nan
113,nan,,nan,nan
114,nan,,nan,nan
115,nan,,nan,nan
116,1.0,ThisIsAnEndNode,nan,nan
117,0.920613908987,AgeGroup,-0.75,0.136363636364
118,0.781975105041,CabinNumbers,1.5,9.0
119,nan,,nan,nan
120,1.0,ThisIsAnEndNode,nan,nan
121,0.920613908987,AgeGroup,-0.75,0.136363636364
122,0.781975105041,CabinNumbers,1.5,9.0
123,0.920613908987,AgeGroup,-0.75,0.136363636364
124,0.781975105041,CabinNumbers,1.5,9.0
125,0.781975105041,CabinNumbers,1.5,9.0
126,0.73657981458,FamilySize,4.5,0.636363636364
127,nan,,nan,nan
128,nan,,nan,nan
129,0.757146473451,YesMrs,0.0,0.181818181818
130,0.783683634602,TicketNumber,234711.0,19692.0909091
131,1.0,ThisIsAnEndNode,nan,nan
132,nan,,nan,nan
133,nan,,nan,nan
134,nan,,nan,nan
135,nan,,nan,nan
136,nan,,nan,nan
137,nan,,nan,nan
138,nan,,nan,nan
139,nan,,nan,nan
140,nan,,nan,nan
141,nan,,nan,nan
142,nan,,nan,nan
143,nan,,nan,nan
144,nan,,nan,nan
145,nan,,nan,nan
146,nan,,nan,nan
147,nan,,nan,nan
148,nan,,nan,nan
149,nan,,nan,nan
150,nan,,nan,nan
151,nan,,nan,nan
152,nan,,nan,nan
153,nan,,nan,nan
154,nan,,nan,nan
155,nan,,nan,nan
156,nan,,nan,nan
157,nan,,nan,nan
158,nan,,nan,nan
159,0.503867169842,TicketNumber,284323.454545,281697.454545
160,0.594936854981,SibSp,0.5,0.272727272727
161,nan,,nan,nan
162,nan,,nan,nan
163,nan,,nan,nan
164,nan,,nan,nan
165,nan,,nan,nan
166,nan,,nan,nan
167,0.806040819818,TicketNumber,23101275.0,1818182.27273
168,nan,,nan,nan
169,nan,,nan,nan
170,nan,,nan,nan
171,nan,,nan,nan
172,nan,,nan,nan
173,nan,,nan,nan
174,nan,,nan,nan
175,nan,,nan,nan
176,nan,,nan,nan
177,nan,,nan,nan
178,nan,,nan,nan
179,nan,,nan,nan
180,nan,,nan,nan
181,nan,,nan,nan
182,nan,,nan,nan
183,nan,,nan,nan
184,nan,,nan,nan
185,nan,,nan,nan
186,nan,,nan,nan
